ROWID,Country,SourceYear,Period from,Period to,Type of Season,Actual rainfall,Normal rainfall,Percentage of departure rainfall,YearCode,Year
83,India,2008-09,Jun-2008,Sep-2008,Monsoon Season,873.2,892.2,-2.1,2008,"Agriculture Year (Jul - Jun), 2008"
84,India,2008-09,Mar-2009,May-2009,Pre-Monsoon Season,91.0,134.5,-32.3,2008,"Agriculture Year (Jul - Jun), 2008"
85,India,2008-09,Oct-2008,Dec-2008,Post-Monsoon,87.2,125.9,-30.7,2008,"Agriculture Year (Jul - Jun), 2008"
86,India,2009-10,Jan-2010,Feb-2010,Winter Season,24.6,43.8,-43.8,2009,"Agriculture Year (Jul - Jun), 2009"
87,India,2009-10,Jun-2009,May-2010,Overall Rainfall,972.8,1195.6,-18.6,2009,"Agriculture Year (Jul - Jun), 2009"
88,India,2009-10,Jun-2009,Sep-2009,Monsoon Season,689.8,892.2,-22.7,2009,"Agriculture Year (Jul - Jun), 2009"
89,India,2009-10,Mar-2010,May-2010,Pre-Monsoon Season,122.9,133.7,-8.1,2009,"Agriculture Year (Jul - Jun), 2009"
90,India,2009-10,Oct-2009,Dec-2009,Post-Monsoon,135.5,125.9,7.6,2009,"Agriculture Year (Jul - Jun), 2009"
91,India,2010-11,Jan-2011,Feb-2011,Winter Season,31.9,40.9,-22.0,2010,"Agriculture Year (Jul - Jun), 2010"
92,India,2010-11,Jun-2010,May-2011,Overall Rainfall,1212.3,1191.7,1.7,2010,"Agriculture Year (Jul - Jun), 2010"
93,India,2010-11,Jun-2010,Sep-2010,Monsoon Season,912.8,893.2,2.2,2010,"Agriculture Year (Jul - Jun), 2010"
94,India,2010-11,Mar-2011,May-2011,Pre-Monsoon Season,114.4,131.3,-12.9,2010,"Agriculture Year (Jul - Jun), 2010"
95,India,2010-11,Oct-2010,Dec-2010,Post-Monsoon,153.2,126.3,21.3,2010,"Agriculture Year (Jul - Jun), 2010"
96,India,2011-12,Jan-2012,Feb-2012,Winter Season,38.8,40.9,-5.1,2011,"Agriculture Year (Jul - Jun), 2011"
97,India,2011-12,Jun-2011,May-2012,Overall Rainfall,1094.7,1186.9,-7.8,2011,"Agriculture Year (Jul - Jun), 2011"
98,India,2011-12,Jun-2011,Sep-2011,Monsoon Season,899.9,887.5,1.4,2011,"Agriculture Year (Jul - Jun), 2011"
99,India,2011-12,Mar-2012,May-2012,Pre-Monsoon Season,90.3,131.3,-31.2,2011,"Agriculture Year (Jul - Jun), 2011"
100,India,2011-12,Oct-2011,Dec-2011,Post-Monsoon,65.7,127.2,-48.3,2011,"Agriculture Year (Jul - Jun), 2011"
101,India,2012-13,Jan-2013,Feb-2013,Winter Season,51.4,40.9,25.7,2012,"Agriculture Year (Jul - Jun), 2012"
102,India,2012-13,Jun-2012,May-2013,Overall Rainfall,1073.4,1186.3,-9.5,2012,"Agriculture Year (Jul - Jun), 2012"
103,India,2012-13,Jun-2012,Sep-2012,Monsoon Season,819.5,886.9,-7.6,2012,"Agriculture Year (Jul - Jun), 2012"
104,India,2012-13,Mar-2013,May-2013,Pre-Monsoon Season,101.9,131.3,-22.4,2012,"Agriculture Year (Jul - Jun), 2012"
105,India,2012-13,Oct-2012,Dec-2012,Post-Monsoon,100.6,127.2,-20.9,2012,"Agriculture Year (Jul - Jun), 2012"
106,India,2013-14,Jan-2014,Feb-2014,Winter Season,46.2,40.9,13.0,2013,"Agriculture Year (Jul - Jun), 2013"
107,India,2013-14,Jun-2013,May-2014,Overall Rainfall,1262.4,1186.3,6.4,2013,"Agriculture Year (Jul - Jun), 2013"
108,India,2013-14,Jun-2013,Sep-2013,Monsoon Season,936.7,886.9,5.6,2013,"Agriculture Year (Jul - Jun), 2013"
109,India,2013-14,Mar-2014,May-2014,Pre-Monsoon Season,130.0,131.3,-1.0,2013,"Agriculture Year (Jul - Jun), 2013"
110,India,2013-14,Oct-2013,Dec-2013,Post-Monsoon,149.5,127.2,17.5,2013,"Agriculture Year (Jul - Jun), 2013"
111,India,2014-15,Jan-2015,Feb-2015,Winter Season,37.6,41.4,-9.2,2014,"Agriculture Year (Jul - Jun), 2014"
112,India,2014-15,Jun-2014,May-2015,Overall Rainfall,1081.8,1187.0,-8.9,2014,"Agriculture Year (Jul - Jun), 2014"
113,India,2014-15,Jun-2014,Sep-2014,Monsoon Season,777.5,886.9,-12.3,2014,"Agriculture Year (Jul - Jun), 2014"
114,India,2014-15,Mar-2015,May-2015,Pre-Monsoon Season,181.5,131.5,38.0,2014,"Agriculture Year (Jul - Jun), 2014"
115,India,2014-15,Oct-2014,Dec-2014,Post-Monsoon,85.2,127.2,-33.0,2014,"Agriculture Year (Jul - Jun), 2014"
116,India,2015-16,Jan-2016,Feb-2016,Winter Season,17.9,41.4,-56.8,2015,"Agriculture Year (Jul - Jun), 2015"
117,India,2015-16,Jun-2015,May-2016,Overall Rainfall,1007.3,1187.6,-15.2,2015,"Agriculture Year (Jul - Jun), 2015"
118,India,2015-16,Jun-2015,Sep-2015,Monsoon Season,760.6,887.5,-14.3,2015,"Agriculture Year (Jul - Jun), 2015"
119,India,2015-16,Mar-2016,May-2016,Pre-Monsoon Season,131.0,131.5,-0.4,2015,"Agriculture Year (Jul - Jun), 2015"
120,India,2015-16,Oct-2015,Dec-2015,Post-Monsoon,97.8,127.2,-23.1,2015,"Agriculture Year (Jul - Jun), 2015"
121,India,2016-17,Jan-2017,Feb-2017,Winter Season,39.3,41.4,-5.1,2016,"Agriculture Year (Jul - Jun), 2016"
122,India,2016-17,Jun-2016,May-2017,Overall Rainfall,1099.4,1187.6,-7.4,2016,"Agriculture Year (Jul - Jun), 2016"
123,India,2016-17,Jun-2016,Sep-2016,Monsoon Season,862.0,887.5,-2.9,2016,"Agriculture Year (Jul - Jun), 2016"
124,India,2016-17,Mar-2017,May-2017,Pre-Monsoon Season,128.4,131.5,-2.4,2016,"Agriculture Year (Jul - Jun), 2016"
125,India,2016-17,Oct-2016,Dec-2016,Post-Monsoon,69.7,127.2,-45.2,2016,"Agriculture Year (Jul - Jun), 2016"
126,India,2017-18,Jan-2018,Feb-2018,Winter Season,15.4,41.4,-62.8,2017,"Agriculture Year (Jul - Jun), 2017"
127,India,2017-18,Jun-2017,May-2018,Overall Rainfall,1086.4,1187.6,-8.5,2017,"Agriculture Year (Jul - Jun), 2017"
128,India,2017-18,Jun-2017,Sep-2017,Monsoon Season,841.3,887.5,-5.2,2017,"Agriculture Year (Jul - Jun), 2017"
129,India,2017-18,Mar-2018,May-2018,Pre-Monsoon Season,117.0,131.5,-11.0,2017,"Agriculture Year (Jul - Jun), 2017"
130,India,2017-18,Oct-2017,Dec-2017,Post-Monsoon,112.7,127.2,-11.4,2017,"Agriculture Year (Jul - Jun), 2017"
131,India,2018-19,Jan-2019,Feb-2019,Winter Season,51.4,41.4,24.2,2018,"Agriculture Year (Jul - Jun), 2018"
132,India,2018-19,Jun-2018,May-2019,Overall Rainfall,1025.6,1187.6,-13.6,2018,"Agriculture Year (Jul - Jun), 2018"
133,India,2018-19,Jun-2018,Sep-2018,Monsoon Season,804.0,887.5,-9.4,2018,"Agriculture Year (Jul - Jun), 2018"
134,India,2018-19,Mar-2019,May-2019,Pre-Monsoon Season,99.0,131.5,-24.7,2018,"Agriculture Year (Jul - Jun), 2018"
135,India,2018-19,Oct-2018,Dec-2018,Post-Monsoon,71.2,127.2,-44.0,2018,"Agriculture Year (Jul - Jun), 2018"
136,India,2019-20,Jan-2020,Feb-2020,Winter Season,40.2,40.8,-1.4,2019,"Agriculture Year (Jul - Jun), 2019"
137,India,2019-20,Jun-2019,May-2020,Overall Rainfall,1327.0,1176.9,12.8,2019,"Agriculture Year (Jul - Jun), 2019"
138,India,2019-20,Jun-2019,Sep-2019,Monsoon Season,968.3,880.6,10.0,2019,"Agriculture Year (Jul - Jun), 2019"
139,India,2019-20,Mar-2020,May-2020,Pre-Monsoon Season,158.5,131.7,20.3,2019,"Agriculture Year (Jul - Jun), 2019"
140,India,2019-20,Oct-2019,Dec-2019,Post-Monsoon,160.0,123.8,29.2,2019,"Agriculture Year (Jul - Jun), 2019"
141,India,2020-21,Jan-2021,Feb-2021,Winter Season,27.8,40.8,-32.0,2020,"Agriculture Year (Jul - Jun), 2020"
142,India,2020-21,Jun-2020,May-2021,Overall Rainfall,1265.2,1176.9,7.5,2020,"Agriculture Year (Jul - Jun), 2020"
143,India,2020-21,Jun-2020,Sep-2020,Monsoon Season,957.6,880.6,8.7,2020,"Agriculture Year (Jul - Jun), 2020"
144,India,2020-21,Mar-2021,May-2021,Pre-Monsoon Season,155.2,131.7,18.0,2020,"Agriculture Year (Jul - Jun), 2020"
145,India,2020-21,Oct-2020,Dec-2020,Post-Monsoon,124.6,123.8,0.6,2020,"Agriculture Year (Jul - Jun), 2020"
146,India,2021-22,Jan-2022,Feb-2022,Winter Season,58.7,40.8,44.0,2021,"Agriculture Year (Jul - Jun), 2021"
147,India,2021-22,Jun-2021,May-2022,Overall Rainfall,,,,2021,"Agriculture Year (Jul - Jun), 2021"
148,India,2021-22,Jun-2021,Sep-2021,Monsoon Season,874.6,880.6,-1.0,2021,"Agriculture Year (Jul - Jun), 2021"
149,India,2021-22,Mar-2022,May-2022,Pre-Monsoon Season,,,,2021,"Agriculture Year (Jul - Jun), 2021"
150,India,2021-22,Oct-2021,Dec-2021,Post-Monsoon,177.8,123.8,44.0,2021,"Agriculture Year (Jul - Jun), 2021"
