Country,srcYear,Crop name,Season,Estimates of yield,YearCode,Year
India,2011-12,Gram,Rabi,928,2011,"Financial Year (Apr - Mar), 2011"
India,2011-12,Urad,Kharif,523,2011,"Financial Year (Apr - Mar), 2011"
India,2011-12,Urad,Rabi,621,2011,"Financial Year (Apr - Mar), 2011"
India,2011-12,Moong,Kharif,475,2011,"Financial Year (Apr - Mar), 2011"
India,2011-12,Moong,Rabi,508,2011,"Financial Year (Apr - Mar), 2011"
India,2011-12,Lentil,Rabi,678,2011,"Financial Year (Apr - Mar), 2011"
India,2011-12,Other Kharif Pulses,Kharif,420,2011,"Financial Year (Apr - Mar), 2011"
India,2011-12,Other Rabi Pulses,Rabi,765,2011,"Financial Year (Apr - Mar), 2011"
India,2011-12,Pulses,Kharif,541,2011,"Financial Year (Apr - Mar), 2011"
India,2011-12,Pulses,Rabi,831,2011,"Financial Year (Apr - Mar), 2011"
India,2011-12,Foodgrains,Kharif,1821,2011,"Financial Year (Apr - Mar), 2011"
India,2011-12,Foodgrains,Rabi,2430,2011,"Financial Year (Apr - Mar), 2011"
India,2012-13,Rice,Autumn,,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Rice,Winter,,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Rice,Kharif,,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Rice,Rabi/Summer,3353,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Wheat,Rabi,3117,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Jowar,Kharif,1171,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Jowar,Rabi,644,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Bajra,Kharif,1198,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Maize,Kharif,2246,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Maize,Rabi/Summer,4152,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Ragi,Kharif,1392,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Small Millets,Kharif,578,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Barley,Rabi,2521,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Nutri Cereals,Kharif,1583,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Nutri Cereals,Rabi,1725,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Cereals,Kharif,2116,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Cereals,Rabi,2931,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Tur (Arhar),Kharif,776,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Gram,Rabi,1036,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Urad,Kharif,606,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Urad,Rabi,682,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Moong,Kharif,400,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Moong,Rabi,538,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Lentil,Rabi,797,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Other Kharif Pulses,Kharif,377,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Other Rabi Pulses,Rabi,840,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Pulses,Kharif,594,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Pulses,Rabi,934,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Foodgrains,Kharif,1892,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Foodgrains,Rabi,2431,2012,"Financial Year (Apr - Mar), 2012"
India,2013-14,Rice,Autumn,2158,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Rice,Winter,,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Rice,Kharif,2434,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Rice,Rabi/Summer,3232,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Wheat,Rabi,3145,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Jowar,Kharif,1050,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Jowar,Rabi,896,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Bajra,Kharif,1184,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Maize,Kharif,2346,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Maize,Rabi/Summer,4050,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Ragi,Kharif,1661,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Small Millets,Kharif,630,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Barley,Rabi,2718,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Nutri Cereals,Kharif,1619,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Nutri Cereals,Rabi,2034,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Cereals,Kharif,2089,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Cereals,Rabi,2995,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Tur (Arhar),Kharif,813,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Gram,Rabi,960,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Urad,Kharif,490,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Urad,Rabi,768,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Moong,Kharif,409,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Moong,Rabi,620,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Lentil,Rabi,759,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Other Kharif Pulses,Kharif,409,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Other Rabi Pulses,Rabi,816,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Pulses,Kharif,580,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Pulses,Rabi,891,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Foodgrains,Kharif,1864,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Foodgrains,Rabi,2435,2013,"Financial Year (Apr - Mar), 2013"
India,2014-15,Rice,Autumn,1645,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Rice,Winter,2310,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Rice,Kharif,2335,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Rice,Rabi/Summer,3291,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Wheat,Rabi,2750,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Jowar,Kharif,1014,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Jowar,Rabi,808,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Bajra,Kharif,1255,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Maize,Kharif,2249,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Maize,Rabi/Summer,4414,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Ragi,Kharif,1706,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Small Millets,Kharif,654,2014,"Financial Year (Apr - Mar), 2014"
